map_id,manuscript_location,displayed_value,result_family,generated_output_file,frozen_reference_file,machine_readable_row_key,exact_stored_value,exact_ci_lower_or_bound,exact_ci_upper_or_bound,n,events,reliability_action,frozen_authority_source,trace_status,notes
S004,Results line 116,2.1% (95% CI 1.4%-3.0%),SECONDARY_RESULTS,outputs/current/SECONDARY_RESULTS.csv,validation/reference/W09_ACCEPTED/SECONDARY_RESULTS.csv,cell_id=A3; estimand_id=S2A,0.0210071272031692,0.0142094372408617,0.029867184608739,1946,41,CONTEXT_ONLY,W12 frozen authority -> accepted W09 SECONDARY_RESULTS.csv,PASS,A3 is explicitly context-only in manuscript and repository reliability_action.
S005,Results line 118,4.6% (95% CI 3.3%-6.2%),SECONDARY_RESULTS,outputs/current/SECONDARY_RESULTS.csv,validation/reference/W09_ACCEPTED/SECONDARY_RESULTS.csv,cell_id=UACR_GE100; estimand_id=S3,0.0460308565518747,0.0333644038098991,0.0617272906724379,1946,106,CONTEXT_ONLY,W12 frozen authority -> accepted W09 SECONDARY_RESULTS.csv,PASS,Context-only/descriptive higher-threshold result; not promoted to headline.
S006,Results line 118,3.1% (95% CI 2.1%-4.3%),SECONDARY_RESULTS,outputs/current/SECONDARY_RESULTS.csv,validation/reference/W09_ACCEPTED/SECONDARY_RESULTS.csv,cell_id=UACR_GE200; estimand_id=S4,0.0307137576510302,0.0214479103666016,0.0425173867674624,1946,63,CONTEXT_ONLY,W12 frozen authority -> accepted W09 SECONDARY_RESULTS.csv,PASS,Context-only/descriptive higher-threshold result; not promoted to headline.
S007,Results line 118,2.1% (95% CI 1.4%-3.0%),SECONDARY_RESULTS,outputs/current/SECONDARY_RESULTS.csv,validation/reference/W09_ACCEPTED/SECONDARY_RESULTS.csv,cell_id=UACR_GE300_A3; estimand_id=S5,0.0210071272031692,0.0142094372408617,0.029867184608739,1946,41,CONTEXT_ONLY,W12 frozen authority -> accepted W09 SECONDARY_RESULTS.csv,PASS,Context-only/descriptive higher-threshold result; not promoted to headline.
H001,Results line 123; Supplemental Table S2,6.6% (95% CI 4.1%-9.9%),SUBGROUP_RESULTS,outputs/current/SUBGROUP_RESULTS.csv,validation/reference/W09_ACCEPTED/SUBGROUP_RESULTS.csv,subgroup_id=H1; subgroup_name=AGE_GROUP; subgroup_level=18-44; cell_id=T02,0.06594619087165,0.0411894676496938,0.0992072480621984,371,25,REPORT,W12 frozen authority -> accepted W09 SUBGROUP_RESULTS.csv,PASS,Descriptive subgroup; no interaction claim.
H002,Results line 123; Supplemental Table S2,9.2% (95% CI 7.0%-11.9%),SUBGROUP_RESULTS,outputs/current/SUBGROUP_RESULTS.csv,validation/reference/W09_ACCEPTED/SUBGROUP_RESULTS.csv,subgroup_id=H1; subgroup_name=AGE_GROUP; subgroup_level=45-64; cell_id=T02,0.0924890567601465,0.0701838064356569,0.119040047118297,707,73,REPORT,W12 frozen authority -> accepted W09 SUBGROUP_RESULTS.csv,PASS,Descriptive subgroup; no interaction claim.
H003,Results line 123; Supplemental Table S2,15.6% (95% CI 12.8%-18.7%),SUBGROUP_RESULTS,outputs/current/SUBGROUP_RESULTS.csv,validation/reference/W09_ACCEPTED/SUBGROUP_RESULTS.csv,subgroup_id=H1; subgroup_name=AGE_GROUP; subgroup_level=65+; cell_id=T02,0.155962467725512,0.128049468759129,0.187259455901615,773,113,REPORT,W12 frozen authority -> accepted W09 SUBGROUP_RESULTS.csv,PASS,Descriptive subgroup; no interaction claim.
H004,Results line 123; Supplemental Table S2,11.5% (95% CI 9.0%-14.4%),SUBGROUP_RESULTS,outputs/current/SUBGROUP_RESULTS.csv,validation/reference/W09_ACCEPTED/SUBGROUP_RESULTS.csv,subgroup_id=H2; subgroup_name=SEX; subgroup_level=Male; cell_id=T02,0.115288525047194,0.0904183126166607,0.144164487535831,893,119,REPORT,W12 frozen authority -> accepted W09 SUBGROUP_RESULTS.csv,PASS,Descriptive subgroup; no interaction claim.
H005,Results line 123; Supplemental Table S2,8.9% (95% CI 6.1%-12.5%),SUBGROUP_RESULTS,outputs/current/SUBGROUP_RESULTS.csv,validation/reference/W09_ACCEPTED/SUBGROUP_RESULTS.csv,subgroup_id=H2; subgroup_name=SEX; subgroup_level=Female; cell_id=T02,0.0893921379598988,0.0610598425201654,0.125257588203746,958,92,REPORT,W12 frozen authority -> accepted W09 SUBGROUP_RESULTS.csv,PASS,Descriptive subgroup; no interaction claim.
V001,Results line 125; Supplemental Table S3; Figure 1,11.5% (95% CI 10.4%-12.8%),SENSITIVITY_RESULTS,outputs/current/SENSITIVITY_RESULTS.csv,validation/reference/W09_ACCEPTED/SENSITIVITY_RESULTS.csv,sensitivity_id=V1; cell_id=T02,0.115362341754417,0.103540609711437,0.128026187558292,3186,395,REPORT,W12 frozen authority -> accepted W09 SENSITIVITY_RESULTS.csv,PASS,Nonfasting-independent eligibility with full-examination weights
V002,Results line 125; Supplemental Table S3; Figure 1,10.4% (95% CI 8.9%-12.1%),SENSITIVITY_RESULTS,outputs/current/SENSITIVITY_RESULTS.csv,validation/reference/W09_ACCEPTED/SENSITIVITY_RESULTS.csv,sensitivity_id=V2; cell_id=T02,0.103788902129347,0.0886455874460672,0.120538960587415,1839,211,REPORT,W12 frozen authority -> accepted W09 SENSITIVITY_RESULTS.csv,PASS,Exclude one-time eGFR<60-only qualifiers
V003,Results line 125; Supplemental Table S3; Figure 1,10.9% (95% CI 9.0%-12.9%),SENSITIVITY_RESULTS,outputs/current/SENSITIVITY_RESULTS.csv,validation/reference/W09_ACCEPTED/SENSITIVITY_RESULTS.csv,sensitivity_id=V3; cell_id=T02,0.108741420868042,0.0902904830789787,0.129485676682269,1564,184,REPORT,W12 frozen authority -> accepted W09 SENSITIVITY_RESULTS.csv,PASS,Use hypertension history/medication trigger
V004,Results line 125; Supplemental Table S3; Figure 1,10.3% (95% CI 8.8%-12.0%),SENSITIVITY_RESULTS,outputs/current/SENSITIVITY_RESULTS.csv,validation/reference/W09_ACCEPTED/SENSITIVITY_RESULTS.csv,sensitivity_id=V4; cell_id=T02,0.102825587073739,0.0877499594486062,0.119511701415197,1859,211,REPORT,W12 frozen authority -> accepted W09 SENSITIVITY_RESULTS.csv,PASS,Add broad self-reported diabetes history
V005,Results line 125; Supplemental Table S3; Figure 1,10.5% (95% CI 8.9%-12.1%),SENSITIVITY_RESULTS,outputs/current/SENSITIVITY_RESULTS.csv,validation/reference/W09_ACCEPTED/SENSITIVITY_RESULTS.csv,sensitivity_id=V5; cell_id=T02,0.104583311527621,0.0893447376298963,0.121434330936683,1824,211,REPORT,W12 frozen authority -> accepted W09 SENSITIVITY_RESULTS.csv,PASS,Remove additional cardiovascular-disease pathway
V006,Abstract Results line 27; What Study Adds line 43; Results line 125; Discussion line 141,10.3%-11.5% across 5 prespecified sensitivity analyses,SENSITIVITY_RESULTS,outputs/current/SENSITIVITY_RESULTS.csv,validation/reference/W09_ACCEPTED/SENSITIVITY_RESULTS.csv,derived min/max over sensitivity_id=V1..V5 and cell_id=T02,min=0.102825587073739;max=0.115362341754417,,,,,REPORT,W12 frozen authority -> accepted W09 SENSITIVITY_RESULTS.csv,PASS,Derived presentation range from the five stored T02 sensitivity point estimates; does not replace individual rows.
B001,Results line 130; Supplemental Table S4B,75.68%-81.66%,IDENTIFICATION_BOUNDS,outputs/current/IDENTIFICATION_BOUNDS.csv,validation/reference/W09_ACCEPTED/IDENTIFICATION_BOUNDS.csv,cell_id=T01,,0.756848779116007,0.816604826710687,,,IDENTIFICATION_BOUND_NOT_CI,W12 frozen authority -> accepted W09 IDENTIFICATION_BOUNDS.csv,PASS,"Identification bound, not a sampling 95% CI."
B002,Abstract Results line 27; Results line 130; Discussion line 141; Conclusions line 159; Supplemental Table S4B,9.66%-15.64%,IDENTIFICATION_BOUNDS,outputs/current/IDENTIFICATION_BOUNDS.csv,validation/reference/W09_ACCEPTED/IDENTIFICATION_BOUNDS.csv,cell_id=T02,,0.0966011488663732,0.156357196461054,,,IDENTIFICATION_BOUND_NOT_CI,W12 frozen authority -> accepted W09 IDENTIFICATION_BOUNDS.csv,PASS,"Identification bound, not a sampling 95% CI."
B003,Supplemental Table S4B,5.86%-10.64%,IDENTIFICATION_BOUNDS,outputs/current/IDENTIFICATION_BOUNDS.csv,validation/reference/W09_ACCEPTED/IDENTIFICATION_BOUNDS.csv,cell_id=T03,,0.0585744794005894,0.106412795716372,,,IDENTIFICATION_BOUND_NOT_CI,W12 frozen authority -> accepted W09 IDENTIFICATION_BOUNDS.csv,PASS,"Identification bound, not a sampling 95% CI."
B004,Supplemental Table S4B,0.34%-5.12%,IDENTIFICATION_BOUNDS,outputs/current/IDENTIFICATION_BOUNDS.csv,validation/reference/W09_ACCEPTED/IDENTIFICATION_BOUNDS.csv,cell_id=T04,,0.00336777600027447,0.0512060923160569,,,IDENTIFICATION_BOUND_NOT_CI,W12 frozen authority -> accepted W09 IDENTIFICATION_BOUNDS.csv,PASS,"Identification bound, not a sampling 95% CI."
B005,Supplemental Table S4B,0.87%-5.54%,IDENTIFICATION_BOUNDS,outputs/current/IDENTIFICATION_BOUNDS.csv,validation/reference/W09_ACCEPTED/IDENTIFICATION_BOUNDS.csv,cell_id=T05,,0.00865375097885822,0.0553984518778374,,,IDENTIFICATION_BOUND_NOT_CI,W12 frozen authority -> accepted W09 IDENTIFICATION_BOUNDS.csv,PASS,"Identification bound, not a sampling 95% CI."
B006,Supplemental Table S4B,0.72%-5.39%,IDENTIFICATION_BOUNDS,outputs/current/IDENTIFICATION_BOUNDS.csv,validation/reference/W09_ACCEPTED/IDENTIFICATION_BOUNDS.csv,cell_id=T06,,0.00717653041896795,0.0539212313179471,,,IDENTIFICATION_BOUND_NOT_CI,W12 frozen authority -> accepted W09 IDENTIFICATION_BOUNDS.csv,PASS,"Identification bound, not a sampling 95% CI."
B007,Supplemental Table S4B,0.51%-5.22%,IDENTIFICATION_BOUNDS,outputs/current/IDENTIFICATION_BOUNDS.csv,validation/reference/W09_ACCEPTED/IDENTIFICATION_BOUNDS.csv,cell_id=T07,,0.00508038342251277,0.0522297728753572,,,IDENTIFICATION_BOUND_NOT_CI,W12 frozen authority -> accepted W09 IDENTIFICATION_BOUNDS.csv,PASS,"Identification bound, not a sampling 95% CI."
F001,Figure 1 primary point,10.3% (8.8%-12.0%),PRIMARY_RESULTS,outputs/current/PRIMARY_RESULTS.csv,validation/reference/W09_ACCEPTED/PRIMARY_RESULTS.csv,cell_id=T02,0.103172973415295,0.0879820038682535,0.119993423020615,1851,211,REPORT,W12 frozen authority -> accepted W09 PRIMARY_RESULTS.csv,PASS,Figure 1 primary plotted point.
F002,Figure 1 sensitivity point V1,11.5% (10.4%-12.8%),SENSITIVITY_RESULTS,outputs/current/SENSITIVITY_RESULTS.csv,validation/reference/W09_ACCEPTED/SENSITIVITY_RESULTS.csv,sensitivity_id=V1; cell_id=T02,0.115362341754417,0.103540609711437,0.128026187558292,3186,395,REPORT,W12 frozen authority -> accepted W09 SENSITIVITY_RESULTS.csv,PASS,Figure 1 plotted point.
F003,Figure 1 sensitivity point V2,10.4% (8.9%-12.1%),SENSITIVITY_RESULTS,outputs/current/SENSITIVITY_RESULTS.csv,validation/reference/W09_ACCEPTED/SENSITIVITY_RESULTS.csv,sensitivity_id=V2; cell_id=T02,0.103788902129347,0.0886455874460672,0.120538960587415,1839,211,REPORT,W12 frozen authority -> accepted W09 SENSITIVITY_RESULTS.csv,PASS,Figure 1 plotted point.
F004,Figure 1 sensitivity point V3,10.9% (9.0%-12.9%),SENSITIVITY_RESULTS,outputs/current/SENSITIVITY_RESULTS.csv,validation/reference/W09_ACCEPTED/SENSITIVITY_RESULTS.csv,sensitivity_id=V3; cell_id=T02,0.108741420868042,0.0902904830789787,0.129485676682269,1564,184,REPORT,W12 frozen authority -> accepted W09 SENSITIVITY_RESULTS.csv,PASS,Figure 1 plotted point.
F005,Figure 1 sensitivity point V4,10.3% (8.8%-12.0%),SENSITIVITY_RESULTS,outputs/current/SENSITIVITY_RESULTS.csv,validation/reference/W09_ACCEPTED/SENSITIVITY_RESULTS.csv,sensitivity_id=V4; cell_id=T02,0.102825587073739,0.0877499594486062,0.119511701415197,1859,211,REPORT,W12 frozen authority -> accepted W09 SENSITIVITY_RESULTS.csv,PASS,Figure 1 plotted point.
F006,Figure 1 sensitivity point V5,10.5% (8.9%-12.1%),SENSITIVITY_RESULTS,outputs/current/SENSITIVITY_RESULTS.csv,validation/reference/W09_ACCEPTED/SENSITIVITY_RESULTS.csv,sensitivity_id=V5; cell_id=T02,0.104583311527621,0.0893447376298963,0.121434330936683,1824,211,REPORT,W12 frozen authority -> accepted W09 SENSITIVITY_RESULTS.csv,PASS,Figure 1 plotted point.
